2025-03-20 18:44:50,436 - INFO - SVDT1 Time: 31/08/2023 23:01:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 96, PM2.5: 0.8, PM10: 6.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:50,946 - INFO - SVDT1 Time: 31/08/2023 23:00:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 125, PM2.5: 0.8, PM10: 2.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:51,456 - INFO - SVDT1 Time: 31/08/2023 22:59:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 115, PM2.5: 0.7, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:51,964 - INFO - SVDT1 Time: 31/08/2023 22:58:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 115, PM2.5: 1.1, PM10: 1.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:52,473 - INFO - SVDT1 Time: 31/08/2023 22:57:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 135, PM2.5: 0.6, PM10: 1.2, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:52,986 - INFO - SVDT1 Time: 31/08/2023 22:56:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.7, PM10: 1.2, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:53,492 - INFO - SVDT1 Time: 31/08/2023 22:55:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 77, PM2.5: 0.9, PM10: 4.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:54,000 - INFO - SVDT1 Time: 31/08/2023 22:54:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 64, PM2.5: 1.1, PM10: 1.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:54,504 - INFO - SVDT1 Time: 31/08/2023 22:53:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 111, PM2.5: 0.7, PM10: 2.2, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:55,014 - INFO - SVDT1 Time: 31/08/2023 22:52:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 102, PM2.5: 0.8, PM10: 1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:55,527 - INFO - SVDT1 Time: 31/08/2023 22:51:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 79, PM2.5: 0.6, PM10: 0.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:56,036 - INFO - SVDT1 Time: 31/08/2023 22:50:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 98, PM2.5: 1.1, PM10: 2.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:56,549 - INFO - SVDT1 Time: 31/08/2023 22:49:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 127, PM2.5: 0.3, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:57,058 - INFO - SVDT1 Time: 31/08/2023 22:48:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 131, PM2.5: 0.6, PM10: 1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:57,570 - INFO - SVDT1 Time: 31/08/2023 22:47:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.4, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 117, PM2.5: 0.4, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
